ФИО,Диссертационный совет,Название диссертации,Дата защиты диссертации,Специальность,1 Научный руководитель (консультант),2 Научный руководитель (консультант),Год защиты,Искомая степень,Информация о лишении степени,Примечания
Замятнин Сергей Алексеевич,07.2.002.06 (Д 215.002.14),Оптимизация хирургического лечения местно–распространенного рака почки,23.09.2019,14.01.23 – урология,Комяков Борис Кириллович,–,2019,,,
Семелев Вячеслав Николаевич,07.2.002.03 (Д 215.002.06),Роль коморбидной патологии и состояния систем иммунитета и гемостаза в терапии больных острыми миелоидными лейкозами,23.09.2019,14.01.04 – внутренние болезни; 14.01.21 – гематология и переливание крови,Тыренко Вадим Витальевич,Никитин Владимир Юрьевич,2019,,,
Кевлова Евгения Викторовна,07.2.002.05 (Д 215.002.09),Совершенствование системы оказания амбулаторной стоматологической помощи аттестованным сотрудникам органов внутренних дел,23.09.2019,14.01.14 – стоматология,Иорданишвили Андрей Константинович,–,2019,,,
Буяновская Светлана Владимировна,07.2.002.05 (Д 215.002.09),"Оптимизация диагностики, мониторинга и лечения активной ретинопатии недоношенных у детей со сроком гестации менее 27 недель",23.09.2019,14.01.07 – глазные болезни,Сайдашева Эльвира Ирековна,–,2019,,,
Петривский Сергей Владимирович,07.2.002.06 (Д 215.002.14),Оптимизация лечения гнойно–некротических осложнений у пациентов с критической ишемией нижних конечностей путем местного применения перфторуглеродов,23.09.2019,14.01.26 – сердечно–сосудистая хирургия,Нохрин Сергей Петрович,–,2019,,,
Лысенко Анна Валерьевна,07.2.002.05 (Д 215.002.09),Профилактика и лечение одонтогенного перфоративного верхнечелюстного синусита,23.09.2019,"14.01.14 – стоматология 
14.01.03 – болезни уха, горла и носа",Яременко Андрей Ильич,Зубарева Анна Анатольевна,2019,,,
Тян Ксения Валериевна,Д 215.002.04 (Закрыт с 15.04.2022),Значение нейротрофического фактора головного мозга в патогенезе хронической головной боли напряжения,24.09.2019,14.01.11 – нервные болезни,Калинский Павел Павлович,–,2019,,,
Насырова Елена Юрьевна,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),"Особенности влияния циклофосфамида, доксорубицина и цисплатина на показатели редокс–статуса крови при экспериментальном раке яичников с учетом способа введения химиопрепаратов",24.09.2019,"14.03.06 – фармакология, клиническая фармакология; 14.01.12 ? онкология",Шабанов Петр Дмитриевич,Антонеева Инна Ивановна,2019,,,
Войцеховский Дмитрий Владимирович,Д 215.002.04 (Закрыт с 15.04.2022),Влияние хирургического лечения аневризм головного мозга на качество жизни и когнитивные функции пациентов,24.09.2019,14.01.18 – нейрохирургия, Свистов Дмитрий Владимирович,–,2019,,,
Тарумов Дмитрий Андреевич,Д 215.002.11 (Закрыт с 12.10.2022),"Магнитно–резонансная диагностика морфофункциональных изменений головного мозга при психических и поведенческих расстройствах, вызванных употреблением опиоидов и алкоголя",11.10.2019,"14.01.13 – лучевая диагностика, лучевая терапия; 14.01.06 – психиатрия",Железняк Игорь Сергеевич,Шамрей Владислав Казимирович,2019,,,
Бржеская Ирина Вячеславовна,07.2.002.05 (Д 215.002.09),Асептические язвы роговицы при некоторых тяжелых заболеваниях глаз и способы их лечения,14.10.2019,14.01.07 – глазные болезни,Сомов Евгений Евгеньевич,–,2019,,,
Крайнюкова Лариса Александровна,07.2.002.05 (Д 215.002.09),Особенности факторов кариесрезистентности у больных атопическим дерматитом и их влияние на результаты химического отбеливания дисколоритов зубов,14.10.2019,14.01.14 – стоматология,Епифанов Сергей Александрович,–,2019,,,
Лукьянова Ирина Юрьевна,07.2.002.03 (Д 215.002.06),Cелективная коррекция хроно– и дромотропных нарушений при ишемической болезни сердца (клинико–экспериментальное исследование),21.10.2019,14.01.05 – кардиология,Шишкин Александр Николаевич,–,2019,,,
Зайцев Владимир Александрович,07.2.002.03 (Д 215.002.06),Функциональное состояние гипофизарно–гонадной системы и особенности сперматогенеза у персонала химически опасных объектов,21.10.2019,14.01.02 – эндокринология,Халимов Юрий Шавкатович,–,2019,,,
Борзунов Олег Игоревич,07.2.002.01 (Д 215.002.01),Персонализированная физическая терапия больных с заболеваниями органа зрения,21.10.2019,"14.03.11 – восстановительная медицина, спортивная медицина, лечебная физкультура, курортология и физиотерапия",Пономаренко Геннадий Николаевич,–,2019,,,
Ушаков Дмитрий Игоревич,07.2.002.06 (Д 215.002.14),Стратификация риска у кардиохирургических пациентов пожилого возраста,21.10.2019,14.01.26 – сердечно–сосудистая хирургия,Шихвердиев Назим Низамович,–,2019,,,
Соколова Алина Александровна,07.2.002.01 (Д 215.002.01),Патогенетические основы терапии генитального склероатрофического лихена у мужчин,21.10.2019,14.01.10 – кожные и венерические болезни; 14.03.02 – патологическая анатомия,Самцов Алексей Викторович,Катунина Оксана Рахимовна,2019,,,
Морозов Александр Дмитриевич,07.2.002.05 (Д 215.002.09),Тактика ведения больных при эндоназальных оперативных вмешательствах,28.10.2019,"14.01.03 – болезни уха, горла и носа",Дворянчиков Владимир Владимирович,–,2019,,,
Кубышкина Кристина Павловна,07.2.002.05 (Д 215.002.09),Лечение хронического генерализованного пародонтита средней степени тяжести с использованием ультразвука и озонированной воды,28.10.2019,14.01.14 – стоматология,Олейник Ольга Игоревна,–,2019,,,
Козырева Екатерина Евгеньевна,07.2.002.05 (Д 215.002.09),"Тонзиллэктомия с использованием полупроводникового лазера с длиной волны 970 нм: техника, преимущества",11.11.2019,"14.01.03 – болезни уха, горла и носа",Рябова Марина Андреевна,–,2019,,,
Белехова Светлана Георгиевна,07.2.002.05 (Д 215.002.09),"Сравнительный анализ морфометрических параметров структур глазного дна, полученных на различных типах оптических когерентных томографов",11.11.2019,14.01.07 – глазные болезни,Астахов Юрий Сергеевич,–,2019,,,
Макогонова Марина Евгеньевна,Д 215.002.11 (Закрыт с 12.10.2022),Магнитно–резонансная томография в дианостике миелопатий при спондилитах,15.11.2019,"14.01.13 – лучевая диагностика, лучевая терапия",Трофимова Татьяна Николаевна,Мушкин Александр Юрьевич,2019,,,
Шендеров Сергей Валерьевич,07.2.002.03 (Д 215.002.06),Прогнозирование эффективности и безопасности баллонной ангиопластики и стентирования венечных артерий при остром коронарном синдроме у пациентов старческого возраста,18.11.2019,14.01.05 – кардиология; 14.01.30 – геронтология и гериатрия,Козлов Кирилл Ленарович,Федорец Виктор Николаевич,2019,,,
Зеленов Максим Валерьевич,07.2.002.03 (Д 215.002.06),"Тромболитическая терапия при массивной тромбоэмболии легочной артерии: показания к применению, эффективность, осложнения при использовании различных тромболитиков",18.11.2019,14.01.04 – внутренние болезни,Овчинников Юрий Викторович,–,2019,,,
Лобзина Анастасия Сергеевна,Д 215.002.04 (Закрыт с 15.04.2022),Комплексная оценка нарушений церебрального (артериально–венозного) кровообращения у пациентов с хронической мигренью,19.11.2019,14.01.11 – нервные болезни,Клочева Елена Георгиевна,–,2019,,,
Вербицкий Олег Петрович,Д 215.002.04 (Закрыт с 15.04.2022),"Аневризмы экстракраниального отдела внутренней сонной артерии: клиника, диагностика, лечебная тактика",19.11.2019,14.01.18 – нейрохирургия,Савелло Александр Викторович,–,2019,,,
Никищенкова Юлия Владиславовна,07.2.002.03 (Д 215.002.06),Структурно–функциональные изменения миокарда у лиц пожилого и старческого возраста с сердечной недостаточностью с сохранной и незначительно сниженной систолической функцией левого желудочка в отдаленном периоде инфаркта миокарда,16.12.2019,14.01.05 – кардиология,Никифоров Виктор Сергеевич,–,2019,,,
Богомолов Сергей Николаевич,07.2.002.03 (Д 215.002.06),Возможности электрокардиографии в диагностике гипертрофии миокарда левого желудочка,16.12.2019,14.01.05 – кардиология,Куликов Александр Николаевич,–,2019,,,
Карякин Сергей Сергеевич,07.2.002.01 (Д 215.002.01),Оценка функционального состояния кишечника у больных хроническим гепатитом С с избыточной массой тела,16.12.2019,14.01.09 – инфекционные болезни,Жданов Константин Валерьевич,–,2019,,,
Саулевич Андрей Валерьевич,07.2.002.01 (Д 215.002.01),Клинико–экспериментальное обоснование коррекции дисбиоза кишечника у больных вирусными циррозами печени,16.12.2019,14.01.09 – инфекционные болезни,Жданов Константин Валерьевич,–,2019,,,
Лобзин Дмитрий Юрьевич,07.2.002.01 (Д 215.002.01),Клиническая и иммуногистохимическая оценка скорости развития фиброза у больных хроническим гепатитом С,16.12.2019,14.01.09 – инфекционные болезни,Жданов Константин Валерьевич,–,2019,,,
Самарцев Игорь Николаевич,Д 215.002.04 (Закрыт с 15.04.2022),Неврологические паттерны статодинамических нарушений (дифференциальная диагностика и лечение),17.12.2019,14.01.11 – нервные болезни,Живолупов Сергей Анатольевич,–,2019,,,
Колмык Вера Александровна,07.2.002.02 (Д 215.002.02),Клинико–морфологическая характеристика хронического эндометрита у женщин с отягощенным акушерско–гинекологическим анамнезом,23.12.2019,14.03.02 – патологическая анатомия; 14.01.01 – акушерство и гинекология,Насыров Руслан Абдуллаевич,Кутушева Галия Феттяховна,2019,,,
Семенов Алексей Анатольевич,07.2.002.02 (Д 215.002.02),Морфологическая характеристика основных и вспомогательных элементов коленного сустава в аспекте выбора оптимальной техники его эндопротезирования (анатомо–экспериментальное исследование),23.12.2019,14.03.01 – анатомия человека; 14.01.15 – травматология и ортопедия,Гайворонский Иван Васильевич,Хоминец Владимир Васильевич,2019,,,
Тиханов Виктор Иванович,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Фармакологический анализ свободно–радикального окисления липидов печени холинотропными средствами при переохлаждении,24.12.2019,"14.03.06 – фармакология, клиническая фармакология",Шабанов Петр Дмитриевич,–,2019,,,
Радченко Елена Владимировна,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Экспериментальное и фармакоэкономическое обоснование применения частичных агонистов никотиновых ацетилхолиновых рецепторов для лечения никотиновой зависимости,24.12.2019,"14.03.06 – фармакология, клиническая фармакология",Колбин Алексей Сергеевич,–,2019,,,
Трегубов Алексей Викторович,07.2.002.03 (Д 215.002.06),Электрокардиографические и эхокардиографические предикторы эффективности антиаритмической терапии и интервенционного лечения фибрилляции предсердий,20.01.2020,14.01.05 – кардиология,Шубик Юрий Викторович,–,2020,,,
Кунавина Карина Александровна,07.2.002.05 (Д 215.002.09),Комплексная оценка стоматологической патологии у лиц с синдромом зависимости от алкоголя,20.01.2020,"14.01.14 – стоматология 
14.01.27 – наркология",Оправин Александр Сергеевич,Соловьев Андрей Горгоньевич,2020,,,
Чепчерук Ольга Георгиевна,07.2.002.03 (Д 215.002.06),Особенности состояния сердечно–сосудистой системы у мужчин молодого возраста с вазовагальными синкопальными состояниями,20.01.2020,14.01.04 – внутренние болезни,Барсуков Антон Владимирович,–,2020,,,
Пономарев Вячеслав Олегович,07.2.002.05 (Д 215.002.09),Экспериментальное обоснование персонализированного дозирования антибактериальных препаратов для интравитреального введения в лечении острых послеоперационных эндофтальмитов,20.01.2020,14.01.07 – глазные болезни,Казайкин Виктор Николаевич,–,2020,,,
Фомин Кирилл Николаевич,07.2.002.06 (Д 215.002.14),Индивидуальный подход к лечению больных с острым тромбозом глубоких вен нижних конечностей и прогнозирование его исходов,20.01.2020,14.01.26 – сердечно–сосудистая хирургия,Сорока Владимир Васильевич,–,2020,,,
Найданова Ирина Санжимитуповна,07.2.002.05 (Д 215.002.09),Особенности функциональных нарушений височно–нижнечелюстного сустава и жевательных мышц у молодых пациентов с сохраненными зубными рядами,20.01.2020,14.01.14 – стоматология,Писаревский Юрий Леонидович,–,2020,,,
Москвин Глеб Владимирович,07.2.002.05 (Д 215.002.09),Эффективность использования трансплантатов гребня подвздошной кости при атрофии альвеолярного отростка и альвеолярной части челюстей,20.01.2020,14.01.14 – стоматология,Бородулина Ирина Ивановна,–,2020,,,
Тагиров Наир Сабирович,Д 215.002.03 (Закрыт с 15.07.2022),Патогенетическая коррекция метаболических нарушений и андрогенного дефицита в лечении больных уролитиазом (клинико–экспериментальное исследование),21.01.2020,14.03.03 – патологическая физиология,Васильев Андрей Глебович,–,2020,,,
Ташханов Дмитрий Маратович,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Органопротективные эффекты дистантного ишемического прекондиционирования при протезировании аортального клапана в условиях искусственного кровообращения,21.01.2020,14.01.20 – анестезиология и реаниматология,Баутин Андрей Евгеньевич,–,2020,,,
Солтан Павел Сергеевич,Д 215.002.04 (Закрыт с 15.04.2022),Клинико–генетическая характеристика глиальных опухолей у детей,21.01.2020,14.01.18 – нейрохирургия; 14.01.12 – онкология,Хачатрян Вильям Арамович,Старцев Владимир Юрьевич,2020,,,
Ковтун Демьян Павлович,07.2.002.02 (Д 215.002.02),Патоморфологические прогностические критерии колоректального рака II стадии,27.01.2020,14.03.02 – патологическая анатомия,Аничков Николай Мильевич,–,2020,,,
Сизоненко Николай Александрович,07.2.002.06 (Д 215.002.14),Программа ускоренного выздоровления в хирургическом лечении больных острой обтурационной толстокишечной непроходимостью опухолевого генеза,03.02.2020,14.01.17 – хирургия,Суров Дмитрий Александрович,–,2020,,,
Александров Павел Вячеславович,07.2.002.03 (Д 215.002.06),"Эффективность второго этапа кардиореабилитации пациентов, перенесших операцию коронарного шунтирования",17.02.2020,14.01.05 – кардиология,Перепеч Никита Борисович,–,2020,,,
Алексеева Александра Сергеевна,07.2.002.03 (Д 215.002.06),Влияние персонифицированного подхода на эффективность и безопасность терапии антагонистами витамина К у пациентов с неклапанной фибрилляцией предсердий и венозным тромбоэмболизмом,17.02.2020,14.01.04 – внутренние болезни,Воробьева Надежда Александровна,–,2020,,,
Ваганова Янина Аудрюсовна,07.2.002.01 (Д 215.002.01),Кинезотерапия беременных женщин с дорсопатиями,17.02.2020,"14.03.11 – восстановительная медицина, спортивная медицина, лечебная физкультура, курортология и физиотерапия; 14.01.01 – акушерство и гинекология",Суслова Галина Анатольевна,Гайдуков Сергей Николаевич,2020,,,
Кирсанова Анна Алексеевна,07.2.002.01 (Д 215.002.01),Клинико–организационные аспекты совершенствования медицинской реабилитации военнослужащих,17.02.2020,"14.03.11 – восстановительная медицина, спортивная медицина, лечебная физкультура, курортология и физиотерапия",Пономаренко Геннадий Николаевич,–,2020,,,
Грачев Иван Николаевич,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Сравнительная оценка методов респираторной терапии при тяжелой внебольничной пневмонии,18.02.2020,14.01.20 – анестезиология и реаниматология,Щеголев Алексей Валерианович,–,2020,,,адъюнкт
Филиппова Анастасия Владимировна,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Профиль безопасности лекарственных препаратов биологического происхождения,18.02.2020,"14.03.06 – фармакология, клиническая фармакология",Колбин Алексей Сергеевич,–,2020,,,
Мучник Петр Юрьевич,Д 215.002.04 (Закрыт с 15.04.2022),Причины и следствия ошибок дифференциальной диагностики шизофрении и аффективных расстройств в психиатрическом стационаре,18.02.2020,14.01.06 – психиатрия,Снедков Евгений Владимирович,–,2020,,,
Киселева Татьяна Сергеевна,Д 215.002.03 (Закрыт с 15.07.2022),Аллельный полиморфизм иммунорегуляторных генов в патогенезе персистенции вируса папилломы человека,18.02.2020,14.03.03 – патологическая физиология; 14.03.10 – клиническая лабораторная диагностика,Гумилевский Борис Юриевич,Кахиани Екатерина Инвериевна,2020,,,
Колмакова Кристина Андреевна,Д 215.002.04 (Закрыт с 15.04.2022),Нарушение церебральной и системной гемодинамики при болезни Альцгеймера,18.02.2020,14.01.11 – нервные болезни,Лобзин Владимир Юрьевич,–,2020,,,
Синицына Анастасия Вячеславовна,Д 215.002.11 (Закрыт с 12.10.2022),Ультразвуковая визуализация артериальной связки и парааортальных кальцинатов в диагностике малой формы туберкулеза,21.02.2020,"14.01.13 – лучевая диагностика, лучевая терапия",Синельникова Елена Владимировна,–,2020,,,
Никитенко Виталий Викторович,Д 215.002.03 (Закрыт с 15.07.2022),Болевые синдромы челюстно–лицевой области у военнослужащих в различных климатогеографических условиях несения службы: патофизиологические и организационные основы лечебно–диагностического процесса,03.03.2020,14.03.03 – патологическая физиология; 14.01.14 – стоматология,Цыган Василий Николаевич,Борисова Элеонора Геннадиевна,2020,,,
Дыгун Ольга Дмитриевна,07.2.002.03 (Д 215.002.06),"Субклинический гипотиреоз: частота выявления, диапазон значений тиреотропного гормона, ассоциированный с сердечно–сосудистыми заболеваниями",16.03.2020,14.01.02 – эндокринология,Волкова Анна Ральфовна,–,2020,,,
Карчикьян Павел Олегович,07.2.002.03 (Д 215.002.06),Диастолическая дисфункция левого желудочка и динамика функционального статуса пациентов после эпизода острой декомпенсированной сердечной недостаточности. Эффект ингибиторов If–каналов.,16.03.2020,14.01.05 – кардиология,Сайганов Сергей Анатольевич,–,2020,,,
Попов Владимир Юрьевич,07.2.002.05 (Д 215.002.09),Возможности местной противовоспалительной терапии в комплексном лечении больных с синдромом «сухого глаза»,16.03.2020,"14.01.07 – глазные болезни; 14.03.09 – клиническая иммунология, аллергология",Бржеский Владимир Всеволодович,Калинина Наталия Михайловна,2020,,,
Кравцов Максим Николаевич,Д 215.002.04 (Закрыт с 15.04.2022),Чрескожная видеоэндоскопическая хирургия в комплексном лечении дегенеративно–дистрофических заболеваний позвоночника,17.03.2020,14.01.18 – нейрохирургия,Гайдар Борис Всеволодович,–,2020,,,
Бугаев Петр Андреевич,Д 215.002.11 (Закрыт с 12.10.2022),Экспериментальная оценка эффективности пептидных препаратов при поражениях печени производными гидразина,20.03.2020,"14.03.04 – токсикология, 14.03.06 – фармакология, клиническая фармакология",Башарин Вадим Александрович,Антушевич Александр Евгеньевич,2020,,,адъюнкт
Константинов Дмитрий Юрьевич,07.2.002.01 (Д 215.002.01),"Липидный дистресс–синдром у больных хроническим гепатитом С: особенности течения, оценка прогноза и подходы к лечению.",23.03.2020,14.01.09 – инфекционные болезни,Суздальцев Алексей Александрович,–,2020,,,
Швед Нина Викторовна,07.2.002.02 (Д 215.002.02),Патологическая анатомия ремоделирования миокарда при почечной недостаточности,15.06.2020,14.03.02 – патологическая анатомия,Байков Вадим Валентинович,–,2020,,,
Якушина Наталья Дмитриевна,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Фармакология пептидных механизмов игрового поведения у крыс,16.06.2020,"14.03.06 – фармакология, клиническая фармакология",Шабанов Петр Дмитриевич,–,2020,,,
Пахомова Елена Евгеньевна,07.2.002.01 (Д 215.002.01),"Плазма, обогащенная тромбоцитами, в терапии пациентов с андрогенетической алопецией",22.06.2020,14.01.10 – кожные и венерические болезни,Смирнова Ирина Олеговна,–,2020,,,
Козлова Ольга Петровна,07.2.002.01 (Д 215.002.01),Клинико–лабораторные особенности актиномикоза,22.06.2020,14.01.09 – инфекционные болезни,Климко Николай Николаевич,–,2020,,,
Кушнарёв Александр Петрович,Д 215.002.03 (Закрыт с 15.07.2022),Использование психогенетических особенностей военнослужащих в системе профессионального отбора для деятельности в экстремальных условиях,23.06.2020,19.00.02 – психофизиология,Сысоев Владимир Николаевич,–,2020,,,
Горнов Сергей Валерьевич,Д 215.002.03 (Закрыт с 15.07.2022),Медико–психологическая реабилитация лётчиков после воздействия боевого стресса,23.06.2020,"14.03.08 – авиационная, космическая и морская медицина; 14.03.11 – восстановительная медицина, спортивная медицина, лечебная физкультура, курортология и физиотерапия",Благинин Андрей Александрович,Щегольков Александр Михайлович,2020,,,
Авраменко Антон Алексеевич,07.2.002.06 (Д 215.002.14),Пути оптимизации этапной гемодинамической коррекции у пациентов с функционально единственным желудочком сердца и обструкцией системного кровотока,14.09.2020,14.01.26 – сердечно–сосудистая хирургия,Хохлунов Сергей Михайлович,–,2020,,,
Гусейнов Руслан Гусейнович,07.2.002.06 (Д 215.002.14),Повышение эффективности фармакологической защиты почки при нефросберегающих вмешательствах (экспериментальное исследование),14.09.2020,14.01.23 – урология,Попов Сергей Валерьевич,–,2020,,,
Винницкий Денис Андреевич,07.2.002.05 (Д 215.002.09),Хирургическая реабилитация пациентов с катарактой с имплантацией трифокальной и бифокальной интраокулярной линзы,14.09.2020,14.01.07 – глазные болезни,Бойко Эрнест Витальевич,–,2020,,,
Вихнина Софья Модестовна,07.2.002.05 (Д 215.002.09),Отсроченные нарушения слуха у детей с врожденной цитомегаловирусной инфекцией,14.09.2020,"14.01.03 – болезни уха, горла и носа",Бобошко Мария Юрьевна,–,2020,,,
Гомон Юлия Михайловна,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Комплексная клинико–экономическая оценка применения антимикробных препаратов на стационарном этапе оказания медицинской помощи,15.09.2020,"14.03.06 – фармакология, клиническая фармакология",Колбин Алексей Сергеевич,–,2020,,,
Потапкин Александр Михайлович,07.2.002.04 (Д 215.002.07) (Закрыт с 10.05.2024),Подкрепляющее и противосудорожное действие новых антагонистов глутаматных рецепторов,15.09.2020,"14.03.06 – фармакология, клиническая фармакология",Шабанов Петр Дмитриевич,–,2020,,,
Мамиев Назар Джуманазарович,07.2.002.03 (Д 215.002.06),Аритмическая форма кардиомиопатии перенапряжения у спортсменов и ее профилактика с использованием немедикаментозных методов,21.09.2020,14.01.05 – кардиология,Василенко Владимир Станиславович,–,2020,,,
Скородумова Елизавета Геннадьевна,07.2.002.03 (Д 215.002.06),Особенности клинического течения и прогностические факторы при декомпенсированной хронической сердечной недостаточности с промежуточной фракцией выброса левого желудочка,21.09.2020,14.01.05 – кардиология,Костенко Виктор Авенирович,–,2020,,,
Ганин Александр Сергеевич,07.2.002.06 (Д 215.002.14),Селективная артериальная эмболизация в комплексном лечении язвенных желудочно–кишечных кровотечений,21.09.2020,14.01.17 – хирургия,Мусинов Игорь Михайлович,–,2020,,,
Банников Сергей Анатольевич,07.2.002.05 (Д 215.002.09),Совершенствование диагностики неинвазивных микозов околоносовых пазух,21.09.2020,"14.01.03 – болезни уха, горла и носа",Миронов Василий Геннадьевич,–,2020,,,
Мелиева Зухра Юсуфджановна,07.2.002.02 (Д 215.002.02),"Морфологические критерии дифференциальной диагностики низкодифференцированных серозных, муцинозных и эндометриоидных цистаденокарцином яичников",21.09.2020,14.03.02 – патологическая анатомия,Хмельницкая Наталия Михайловна,–,2020,,,
Андреева Елена Анатольевна,07.2.002.02 (Д 215.002.02),Патологоанатомическая характеристика сепсиса в современных условиях,21.09.2020,14.03.02 – патологическая анатомия,Чирский Вадим Семенович,–,2020,,,
Федоровский Игорь Дмитриевич,Д 215.002.04 (Закрыт с 15.04.2022),Клинические и психосоциальные характеристики больных параноидной шизофренией с частыми и редкими госпитализациями,22.09.2020,14.01.06 – психиатрия,Пашковский Владимир Эдуардович,–,2020,,,
Никишина Оксана Александровна,Д 215.002.04 (Закрыт с 15.04.2022),Клинико–лабораторная оценка динамики показателей интеллектуально–мнестических функций у больных миодистрофией Дюшенна,22.09.2020,14.01.11 – нервные болезни,Лобзин Сергей Владимирович,–,2020,,,
Субханов Кафлан Субханович,Д 215.002.04 (Закрыт с 15.04.2022),Совершенствование комплексной диагностики и оптимизация трансназального эндоскопического лечения назальной ликвореи,22.09.2020,14.01.18 – нейрохирургия,Черебилло Владислав Юрьевич,–,2020,,,
Балабанова Ольга Леонидовна,Д 215.002.11 (Закрыт с 12.10.2022),Химико–токсикологическая диагностика отравлений современными синтетическими наркотическими средствами,02.10.2020,14.03.04 – токсикология; 14.03.10 – клиническая лабораторная диагностика,Шилов Виктор Васильевич,Глушков Сергей Иванович ,2020,,,
Заславская Екатерина Леонидовна,07.2.002.03 (Д 215.002.06),"Электрофизиологические, эхокардиографические и молекулярные предикторы эффективности радиочастотной изоляции устьев легочных вен у пациентов с пароксизмальной фибрилляцией предсердий и метаболическим синдромом",05.10.2020,14.01.05 – кардиология,Баранова Елена Ивановна,–,2020,,,
Мануилов Андрей Сергеевич,07.2.002.03 (Д 215.002.06),Программный экстракорпоральный фотоферез в комплексном лечении ревматоидного артрита,05.10.2020,14.01.04 – внутренние болезни; 14.01.21 – гематология и переливание крови,Тишко Валерий Владимирович,Захаров Михаил Владимирович,2020,,,
Полонская Ирина Ивановна,07.2.002.03 (Д 215.002.06),"Структурно–функциональные изменения сердечно–сосудистой системы, качество жизни, медико–социальная экспертиза и реабилитация при коронарном шунтировании",05.10.2020,14.01.04 – внутренние болезни,Сергеева Вера Владимировна,–,2020,,,
Далинин Вадим Вадимович,07.2.002.06 (Д 215.002.14),Хирургическое лечение аортального стеноза у пациентов пожилого и старческого возраста с применением бесшовных биологических протезов,05.10.2020,14.01.26 – сердечно–сосудистая хирургия,Борисов Игорь Алексеевич,–,2020,,,
Булатов Альберт Ренатович,Д 215.002.04 (Закрыт с 15.04.2022),Клинико–инструментальные характеристики и метаболическая терапия травматических невропатий конечностей,06.10.2020,14.01.11 – нервные болезни,Литвиненко Игорь Вячеславович,–,2020,,,адъюнкт
Богдан Андрей Александрович,Д 215.002.11 (Закрыт с 12.10.2022),Изменение функционального состояния вещества головного мозга при рассеянном склерозе по данным протонной магнитно–резонансной спектроскопии,09.10.2020,"14.01.13 – лучевая диагностика, лучевая терапия",Трофимова Татьяна Николаевна,–,2020,,,
Мурсалов Самир Усман–Оглы,Д 215.002.03 (Закрыт с 15.07.2022),Молекулярные механизмы синдрома полиморбидности в пожилом возрасте,13.10.2020,14.03.03 – патологическая физиология; 14.01.30 – геронтология и гериатрия,Кветной Игорь Моисеевич,–,2020,,,
Билый Андрей Михайлович,Д 215.002.03 (Закрыт с 15.07.2022),Сохранение здоровья и профессионального долголетия,13.10.2020,19.00.02 – психофизиология,Сысоев Владимир Николаевич,–,2020,,,
Милая Наталия Олеговна,07.2.002.03 (Д 215.002.06),"Метаболическое здоровье, состав тела и факторы, связанные с ними у женщин с алиментарно–конституциональным ожирением",19.10.2020,14.01.02 – эндокринология,Белякова Наталья Александровна,–,2020,,,
Сиверина Анна Викторовна,07.2.002.03 (Д 215.002.06),"Ближайший и отдалённый прогнозы у пациентов с инфарктом миокарда и острым повреждением почек в зависимости от полиморфизма генов АРОЕ, SLCO1B1, CYP2C19, NOS3",19.10.2020,14.01.04 – внутренние болезни,Скородумова Елена Андреевна,–,2020,,,
Завьялов Денис Михайлович,Д 215.002.04 (Закрыт с 15.04.2022),Методы профилактики рубцово–спаечного эпидурита при микродискэктомиях на пояснично–крестцовом отделе позвоночника,20.10.2020,14.01.18 – нейрохирургия,Орлов Владимир Петрович,–,2020,,,
